id,source,target,labels,weight
2aef54421fea9bd70de3b856946940c3,CH.ifa.draw.framework.Handle,"CH.ifa.draw.framework.Handle.invokeEnd(int,int,CH.ifa.draw.framework.Drawing)",hasScript,1
d8b54fc34a00fb58c640f313056f7e48,"CH.ifa.draw.applet.DrawApplet.createToolButton(java.lang.String,java.lang.String,CH.ifa.draw.framework.Tool)",CH.ifa.draw.standard.ToolButton,returnType,1
508e1722110106941e059a20f66cd18d,"CH.ifa.draw.standard.ChangeConnectionHandle.findConnectionTarget(int,int,CH.ifa.draw.framework.Drawing).y",int,type,1
8557300a1b822a0cd0f2b3086b17a18d,"CH.ifa.draw.framework.Handle.containsPoint(int,int)","CH.ifa.draw.framework.Handle.containsPoint(int,int).y",hasParameter,1
15494fb785ddf8d33938f777cd94d6be,CH.ifa.draw.figures.TextFigure.connect(CH.ifa.draw.framework.Figure),CH.ifa.draw.framework.Figure.addFigureChangeListener(CH.ifa.draw.framework.FigureChangeListener),invokes,1
06db1e0ab5a14652e8134c7fea42aa57,"CH.ifa.draw.standard.AbstractHandle.invokeStart(int,int,CH.ifa.draw.framework.DrawingView)",CH.ifa.draw.framework.DrawingView.drawing(),invokes,1
f29bbb5493517eaed8fde9e8c337b478,CH.ifa.draw.figures.ScribbleTool.CH.ifa.draw.figures.ScribbleTool(CH.ifa.draw.framework.DrawingView),CH.ifa.draw.figures.ScribbleTool,returnType,1
f223b3746e59694012b1066a9d17dd30,"CH.ifa.draw.standard.ConnectionTool.mouseDown(java.awt.event.MouseEvent,int,int)","CH.ifa.draw.framework.ConnectionFigure.joinSegments(int,int)",invokes,1
c66fa9007a9ce4ed04f608c8022aa2fb,CH.ifa.draw.figures.TextFigure.read(CH.ifa.draw.util.StorableInput),CH.ifa.draw.util.StorableInput.readStorable(),invokes,2
b1474268729fec9276162cc7297cbbc1,CH.ifa.draw.application.DrawApplication.createMenus(java.awt.MenuBar),CH.ifa.draw.application.DrawApplication.createFileMenu(),invokes,1
997c5b0ee5f987c184c2dc2184238dac,CH.ifa.draw.contrib.PolygonScaleHandle,CH.ifa.draw.contrib.PolygonScaleHandle.fOrigPoly,hasVariable,1
5e3e7b86957dd0000be67885c49247b3,CH.ifa.draw.util.Command.CH.ifa.draw.util.Command(java.lang.String),CH.ifa.draw.util.Command,returnType,1
879cf8a9375eab67546f8c9438ab03c6,CH.ifa.draw.standard.StandardDrawingView.selectionHandles(),CH.ifa.draw.standard.StandardDrawingView.selectionElements(),invokes,1
1cde0bda48abdc3605e7592b6230ae7b,"CH.ifa.draw.figures.LineConnection.endPoint(int,int)",CH.ifa.draw.standard.AbstractFigure.changed(),invokes,1
3a4cfc86ea61757fc585300511d23d2d,CH.ifa.draw.standard.FigureChangeEventMulticaster.figureInvalidated(CH.ifa.draw.framework.FigureChangeEvent),CH.ifa.draw.framework.FigureChangeListener.figureInvalidated(CH.ifa.draw.framework.FigureChangeEvent),invokes,2
7e912e2f27f2a938fc247d60adbbf60a,"CH.ifa.draw.figures.LineConnection.canConnect(CH.ifa.draw.framework.Figure,CH.ifa.draw.framework.Figure)","CH.ifa.draw.figures.LineConnection.canConnect(CH.ifa.draw.framework.Figure,CH.ifa.draw.framework.Figure).end",hasParameter,1
3ff2acb5ffd0e51b4357d38beae78b45,CH.ifa.draw.figures.TextFigure.figureChanged(CH.ifa.draw.framework.FigureChangeEvent),CH.ifa.draw.figures.TextFigure.figureChanged(CH.ifa.draw.framework.FigureChangeEvent).e,hasParameter,1
68a3d01c353e7ce9ddcf40777a0f9214,"CH.ifa.draw.standard.SelectAreaTracker.mouseUp(java.awt.event.MouseEvent,int,int)","CH.ifa.draw.standard.SelectAreaTracker.mouseUp(java.awt.event.MouseEvent,int,int).e",hasParameter,1
c8525fa114d30761eeaf89bbe1f98363,"CH.ifa.draw.standard.AbstractTool.mouseUp(java.awt.event.MouseEvent,int,int).y",int,type,1
8ae9953e502906ae9f86bde02c06572b,"CH.ifa.draw.figures.ImageFigure.CH.ifa.draw.figures.ImageFigure(java.awt.Image,java.lang.String,java.awt.Point).fileName",java.lang.String,type,1
bb4d59ea0662310e726c5ccdb514155c,"CH.ifa.draw.standard.FigureChangeEventMulticaster.add(CH.ifa.draw.framework.FigureChangeListener,CH.ifa.draw.framework.FigureChangeListener).b",CH.ifa.draw.framework.FigureChangeListener,type,1
4d0b47d7384be1befba66efcc142314c,CH.ifa.draw.util.Iconkit.loadImageResource(java.lang.String),CH.ifa.draw.util.Iconkit.loadImageResource(java.lang.String).resourcename,hasParameter,1
bbbc3084f8ddc4d3aa6f23f5388bc37b,CH.ifa.draw.figures.AttributeFigure.draw(java.awt.Graphics),CH.ifa.draw.figures.AttributeFigure.drawFrame(java.awt.Graphics),invokes,1
dbf3bbab6a4dfefda0a45de1ec37204c,CH.ifa.draw.samples.pert.PertFigure,CH.ifa.draw.samples.pert.PertFigure.fPostTasks,hasVariable,1
9ad7709e07de86cbe6854bd9aef0c57d,"CH.ifa.draw.standard.ConnectionTool.findSource(int,int,CH.ifa.draw.framework.Drawing).x",int,type,1
0bdedc4bb1f2b10c025d9f9735fc3dbd,CH.ifa.draw.figures.TextTool.activate(),CH.ifa.draw.standard.CreationTool.activate(),invokes,1
aaab324cf7e72d676c0835452a766ab7,"CH.ifa.draw.standard.SelectionTool.createDragTracker(CH.ifa.draw.framework.DrawingView,CH.ifa.draw.framework.Figure)","CH.ifa.draw.standard.SelectionTool.createDragTracker(CH.ifa.draw.framework.DrawingView,CH.ifa.draw.framework.Figure).view",hasParameter,1
fb1a7b62cf2393899552fcd7886de0ed,"CH.ifa.draw.figures.TextTool.mouseDown(java.awt.event.MouseEvent,int,int)","CH.ifa.draw.figures.TextTool.mouseDown(java.awt.event.MouseEvent,int,int).x",hasParameter,1
6d27ede695001c5618711c658efa17ee,CH.ifa.draw.util.Filler,CH.ifa.draw.util.Filler.fHeight,hasVariable,1
ef5482a71297693e90caf16101fa20ae,"CH.ifa.draw.figures.PolyLineConnector.chop(CH.ifa.draw.framework.Figure,java.awt.Point)","CH.ifa.draw.figures.PolyLineConnector.chop(CH.ifa.draw.framework.Figure,java.awt.Point).from",hasParameter,1
eb585a90146eb8262d4fa8dc4c58c153,CH.ifa.draw.figures.PolyLineLocator.CH.ifa.draw.figures.PolyLineLocator(int),CH.ifa.draw.standard.AbstractLocator.CH.ifa.draw.standard.AbstractLocator(),invokes,1
c50dabb48470d9fee79047439b6352b7,CH.ifa.draw.util.Filler,CH.ifa.draw.util.Filler.getBackground(),hasScript,1
40dff352bb97fa4d1a1de9ff220bd3ab,CH.ifa.draw.figures.RectangleFigure,"CH.ifa.draw.figures.RectangleFigure.CH.ifa.draw.figures.RectangleFigure(java.awt.Point,java.awt.Point)",hasScript,1
fa7976bdc86eb4fb475502e433538c07,CH.ifa.draw.application.DrawApplication.guessType(java.lang.String).file,java.lang.String,type,1
e2b15ac45dd4ddda3079429a7096e053,CH.ifa.draw.standard.BringToFrontCommand,CH.ifa.draw.standard.BringToFrontCommand.isExecutable(),hasScript,1
7f14abc88963a21e4da76313aaac16f5,CH.ifa.draw.contrib.PolygonFigure.pointAt(int).i,int,type,1
21455fdae7dac843ea50d3e63b7f3e1f,CH.ifa.draw.figures.PolyLineFigure.draw(java.awt.Graphics),CH.ifa.draw.figures.PolyLineFigure.decorate(java.awt.Graphics),invokes,1
a7db5cfa222a98e4c3ced3b37214992c,CH.ifa.draw.figures.UngroupCommand.execute(),CH.ifa.draw.framework.DrawingView.addToSelection(CH.ifa.draw.framework.Figure),invokes,1
6278649ba1a00138b9559dbc9b3f0184,"CH.ifa.draw.figures.ElbowHandle.invokeStart(int,int,CH.ifa.draw.framework.DrawingView)","CH.ifa.draw.figures.ElbowHandle.invokeStart(int,int,CH.ifa.draw.framework.DrawingView).y",hasParameter,1
1017f7662bb338469c82eb0d98e7c2b2,"CH.ifa.draw.contrib.PolygonFigure.addPoint(int,int)","CH.ifa.draw.contrib.PolygonFigure.addPoint(int,int).x",hasParameter,1
65bde5c88716678b662a19f6ae0dbe6c,"CH.ifa.draw.standard.FigureChangeEventMulticaster.CH.ifa.draw.standard.FigureChangeEventMulticaster(java.util.EventListener,java.util.EventListener)","CH.ifa.draw.standard.FigureChangeEventMulticaster.CH.ifa.draw.standard.FigureChangeEventMulticaster(java.util.EventListener,java.util.EventListener).b",hasParameter,1
933297ccd4411ce564e54b322cd4709a,CH.ifa.draw.samples.pert.PertFigure.updateDurations(),CH.ifa.draw.samples.pert.PertFigure.end(),invokes,1
ae19addec68e30fa8bf082f311eb6209,CH.ifa.draw.figures.UngroupCommand.execute(),CH.ifa.draw.framework.DrawingView.selectionElements(),invokes,1
6ec5bc5b5df066ebe6c4c64346950f15,CH.ifa.draw.applet.DrawApplet.toolDone(),"CH.ifa.draw.applet.DrawApplet.setTool(CH.ifa.draw.framework.Tool,java.lang.String)",invokes,1
22a47ba561ae6625bb66e85afc888034,CH.ifa.draw.samples.nothing.NothingApplet.createTools(java.awt.Panel),CH.ifa.draw.contrib.PolygonTool,instantiates,1
3bea23c37a084270d0d3134483e6dabc,CH.ifa.draw.standard.AbstractFigure.serialVersionUID,long,type,1
5d6682827964912724d7676d728b9626,"CH.ifa.draw.contrib.PolygonFigure.findSegment(int,int)",int,returnType,1
285ad204841b9860d7bf5b47fc950ac5,CH.ifa.draw.applet,CH.ifa.draw.applet.SleeperThread,contains,1
3c238d145a4d4dbb942a1c6e50e257ba,CH.ifa.draw.util.CommandMenu.add(CH.ifa.draw.util.Command),CH.ifa.draw.util.CommandMenu.add(CH.ifa.draw.util.Command).command,hasParameter,1
1dce00d8055cad1019978635f45f9571,CH.ifa.draw.samples.nothing.NothingApp,CH.ifa.draw.samples.nothing.NothingApp.createTools(java.awt.Panel),hasScript,1
