id,labels,kind,simpleName
CH.ifa.draw.figures.LineConnection.endPoint(),Operation,method,endPoint()
"CH.ifa.draw.standard.FigureChangeEventMulticaster.add(CH.ifa.draw.framework.FigureChangeListener,CH.ifa.draw.framework.FigureChangeListener)",Operation,method,"add(CH.ifa.draw.framework.FigureChangeListener,CH.ifa.draw.framework.FigureChangeListener)"
CH.ifa.draw.contrib.PolygonFigure.chop(java.awt.Point).p,Variable,parameter,p
"CH.ifa.draw.util.Geom.range(int,int,int).max",Variable,parameter,max
CH.ifa.draw.samples.javadraw.Animator.end(),Operation,method,end()
CH.ifa.draw.contrib.DiamondFigure.draw(java.awt.Graphics),Operation,method,draw(java.awt.Graphics)
"CH.ifa.draw.standard.AbstractFigure.basicMoveBy(int,int).dx",Variable,parameter,dx
"CH.ifa.draw.standard.ChangeConnectionHandle.invokeStart(int,int,CH.ifa.draw.framework.DrawingView).view",Variable,parameter,view
CH.ifa.draw.figures.RectangleFigure.read(CH.ifa.draw.util.StorableInput),Operation,method,read(CH.ifa.draw.util.StorableInput)
CH.ifa.draw.framework.DrawingView.addToSelectionAll(java.util.Vector),Operation,method,addToSelectionAll(java.util.Vector)
"CH.ifa.draw.figures.ArrowTip.outline(int,int,int,int).x1",Variable,parameter,x1
"CH.ifa.draw.standard.DecoratorFigure.moveBy(int,int).y",Variable,parameter,y
CH.ifa.draw.util.FloatingTextField.addActionListener(java.awt.event.ActionListener),Operation,method,addActionListener(java.awt.event.ActionListener)
CH.ifa.draw.standard.DecoratorFigure.figureRemoved(CH.ifa.draw.framework.FigureChangeEvent).e,Variable,parameter,e
CH.ifa.draw.framework.Drawing.drawingChangeListeners(),Operation,method,drawingChangeListeners()
CH.ifa.draw.standard.LocatorHandle.fLocator,Variable,field,fLocator
CH.ifa.draw.figures.ShortestDistanceConnector,Structure,class,ShortestDistanceConnector
"CH.ifa.draw.contrib.PolygonFigure.CH.ifa.draw.contrib.PolygonFigure(int,int).x",Variable,parameter,x
"CH.ifa.draw.standard.ChangeConnectionHandle.findConnectionTarget(int,int,CH.ifa.draw.framework.Drawing).drawing",Variable,parameter,drawing
"CH.ifa.draw.util.CommandMenu.enable(java.lang.String,boolean)",Operation,method,"enable(java.lang.String,boolean)"
"CH.ifa.draw.framework.Tool.mouseMove(java.awt.event.MouseEvent,int,int).evt",Variable,parameter,evt
CH.ifa.draw.util.ReverseVectorEnumerator.CH.ifa.draw.util.ReverseVectorEnumerator(java.util.Vector).v,Variable,parameter,v
CH.ifa.draw.figures.LineFigure.startPoint(),Operation,method,startPoint()
CH.ifa.draw.standard.CreationTool.createdFigure(),Operation,method,createdFigure()
CH.ifa.draw.standard.FigureTransferCommand.deleteSelection(),Operation,method,deleteSelection()
CH.ifa.draw.standard.OffsetLocator.fOffsetY,Variable,field,fOffsetY
CH.ifa.draw.standard.RelativeLocator.south(),Operation,method,south()
CH.ifa.draw.figures.TextFigure.getText(),Operation,method,getText()
CH.ifa.draw.util.ReverseVectorEnumerator.hasMoreElements(),Operation,method,hasMoreElements()
CH.ifa.draw.application.DrawApplication.fDrawingFilename,Variable,field,fDrawingFilename
CH.ifa.draw.standard.AbstractFigure.includes(CH.ifa.draw.framework.Figure),Operation,method,includes(CH.ifa.draw.framework.Figure)
"CH.ifa.draw.standard.SouthEastHandle.invokeStep(int,int,int,int,CH.ifa.draw.framework.DrawingView).anchorX",Variable,parameter,anchorX
CH.ifa.draw.figures.ElbowHandle.ownerConnection(),Operation,method,ownerConnection()
CH.ifa.draw.standard.StandardDrawingView.setDisplayUpdate(CH.ifa.draw.framework.Painter),Operation,method,setDisplayUpdate(CH.ifa.draw.framework.Painter)
"CH.ifa.draw.standard.SouthWestHandle.invokeStep(int,int,int,int,CH.ifa.draw.framework.DrawingView).view",Variable,parameter,view
CH.ifa.draw.figures.TextTool.fieldBounds(CH.ifa.draw.standard.TextHolder),Operation,method,fieldBounds(CH.ifa.draw.standard.TextHolder)
"CH.ifa.draw.framework.Figure.moveBy(int,int).dy",Variable,parameter,dy
CH.ifa.draw.applet.DrawApplet.readFromObjectInput(java.lang.String),Operation,method,readFromObjectInput(java.lang.String)
CH.ifa.draw.application.DrawApplication.IMAGES,Variable,field,IMAGES
"CH.ifa.draw.figures.TextFigure.setAttribute(java.lang.String,java.lang.Object)",Operation,method,"setAttribute(java.lang.String,java.lang.Object)"
"CH.ifa.draw.framework.ConnectionFigure.canConnect(CH.ifa.draw.framework.Figure,CH.ifa.draw.framework.Figure).start",Variable,parameter,start
CH.ifa.draw.framework.FigureSelection.fData,Variable,field,fData
CH.ifa.draw.figures.ScribbleTool,Structure,class,ScribbleTool
"CH.ifa.draw.standard.SouthHandle.invokeStep(int,int,int,int,CH.ifa.draw.framework.DrawingView).anchorX",Variable,parameter,anchorX
CH.ifa.draw.framework.FigureChangeListener.figureInvalidated(CH.ifa.draw.framework.FigureChangeEvent),Operation,method,figureInvalidated(CH.ifa.draw.framework.FigureChangeEvent)
