id,source,target,labels,weight
75885e0ad6fe586fe82d1ca6382a64fe,refactoring_guru.strategy.example.Demo.order,refactoring_guru.strategy.example.order.Order,type,1
d6a6f3952bb87095fbdae76001687c3a,refactoring_guru.strategy.example.strategies.CreditCard.number,java.lang.String,type,1
5e1fc12ab672cc56ec28624ac4556109,refactoring_guru.strategy.example.strategies.PayByCreditCard.pay(int).paymentAmount,int,type,1
fb54d0e89e8b7d2ee0b04e9107cc3769,"refactoring_guru.strategy.example.strategies.CreditCard.refactoring_guru.strategy.example.strategies.CreditCard(java.lang.String,java.lang.String,java.lang.String)",refactoring_guru.strategy.example.strategies.CreditCard,returnType,1
bca16078db3f83545084b0399e8a14a7,refactoring_guru.strategy.example.strategies.PayByPayPal.collectPaymentDetails(),refactoring_guru.strategy.example.strategies.PayByPayPal.verify(),invokes,1
d1a89277c3795e6ffae54c258c187e97,refactoring_guru.strategy.example.order.Order,refactoring_guru.strategy.example.order.Order.setClosed(),hasScript,1
44ab9ea674b346c434cbf5f95c5826b9,refactoring_guru.strategy.example.strategies.CreditCard,refactoring_guru.strategy.example.strategies.CreditCard.setAmount(int),hasScript,1
9dc6d0d9ff07d86b7af8b823cce7fd62,refactoring_guru.strategy.example.Demo.main(java.lang.String[]),refactoring_guru.strategy.example.order.Order.processOrder(refactoring_guru.strategy.example.strategies.PayStrategy),invokes,1
e1f9d662c6b05bbb11fb9cca8929a698,refactoring_guru.strategy.example,refactoring_guru.strategy.example.Demo,contains,1
1a80f7775e5c5ce58ce0c9cfca72367e,refactoring_guru.strategy.example.order.Order.processOrder(refactoring_guru.strategy.example.strategies.PayStrategy).strategy,refactoring_guru.strategy.example.strategies.PayStrategy,type,1
27c37e5740c6be7c02fc00ca423d18f6,refactoring_guru.strategy.example.strategies.PayByPayPal,refactoring_guru.strategy.example.strategies.PayByPayPal.email,hasVariable,1
e8d53fe8ca6ba206a9d4f2b03531e4cc,refactoring_guru.strategy.example.strategies.PayStrategy.pay(int),refactoring_guru.strategy.example.strategies.PayStrategy.pay(int).paymentAmount,hasParameter,1
bf9a6e4cd2a31da52e29c6f898ce167c,refactoring_guru.strategy.example.Demo.strategy,refactoring_guru.strategy.example.strategies.PayStrategy,type,1
74f1b0978d1e8177453e722b1ea1923b,refactoring_guru.strategy.example.strategies.PayByPayPal.password,java.lang.String,type,1
17d42c2d9190d2da48d1b6396b3b6e1e,refactoring_guru.strategy.example.strategies.PayByPayPal.pay(int),boolean,returnType,1
27c8d1a9fa8992564fcaca079d7495c4,refactoring_guru.strategy.example.order.Order,refactoring_guru.strategy.example.order.Order.isClosed,hasVariable,1
9371f81d37024f9b40a1ee543487865f,refactoring_guru.strategy.example.strategies.CreditCard,refactoring_guru.strategy.example.strategies.CreditCard.cvv,hasVariable,1
381cf86455450d1d9568ea84d6fbef91,refactoring_guru.strategy.example.strategies.PayByPayPal.setSignedIn(boolean),refactoring_guru.strategy.example.strategies.PayByPayPal.setSignedIn(boolean).signedIn,hasParameter,1
0bed699279f7d7eb595e62fbcb5f509c,refactoring_guru.strategy.example.Demo,refactoring_guru.strategy.example.Demo.refactoring_guru.strategy.example.Demo(),hasScript,1
ed01159880cda58e8ebda1ef352576cc,refactoring_guru.strategy.example.strategies,refactoring_guru.strategy.example.strategies.PayByPayPal,contains,1
b495e2df6215920e995e37b16ed22054,refactoring_guru.strategy.example.strategies.PayByPayPal,refactoring_guru.strategy.example.strategies.PayByPayPal.READER,hasVariable,1
0c6fc7faffdb95add6ce8c56c21e361d,"refactoring_guru.strategy.example.strategies.CreditCard.refactoring_guru.strategy.example.strategies.CreditCard(java.lang.String,java.lang.String,java.lang.String)","refactoring_guru.strategy.example.strategies.CreditCard.refactoring_guru.strategy.example.strategies.CreditCard(java.lang.String,java.lang.String,java.lang.String).number",hasParameter,1
70ccd96600ea45e8a28a9b47ac01a11d,refactoring_guru.strategy.example.strategies.PayByCreditCard.pay(int),refactoring_guru.strategy.example.strategies.PayByCreditCard.pay(int).paymentAmount,hasParameter,1
2a842ae5570d9449fce8ba53a0d4f77d,"refactoring_guru.strategy.example.strategies.CreditCard.refactoring_guru.strategy.example.strategies.CreditCard(java.lang.String,java.lang.String,java.lang.String).number",java.lang.String,type,1
b827c6bc8403f00d50a951916dc48c83,refactoring_guru.strategy.example.strategies.PayByCreditCard,refactoring_guru.strategy.example.strategies.PayByCreditCard.pay(int),hasScript,1
adaef456090aaf1c9782928c8aa7d65b,refactoring_guru.strategy.example.strategies.PayByPayPal,refactoring_guru.strategy.example.strategies.PayByPayPal.collectPaymentDetails(),hasScript,1
151168cab355a020c96c7d5afedab9b9,refactoring_guru.strategy.example.order.Order.isClosed(),boolean,returnType,1
ba7578e5cea19c285304218898e234a3,refactoring_guru.strategy.example.strategies.CreditCard,refactoring_guru.strategy.example.strategies.CreditCard.number,hasVariable,1
2c715c30cfa7428e8cf6ee5f8361e2c2,refactoring_guru.strategy.example.Demo,refactoring_guru.strategy.example.Demo.priceOnProducts,hasVariable,1
198d684cc5a291c69b764d142a710813,refactoring_guru.strategy.example.strategies.PayByPayPal.email,java.lang.String,type,1
f179f658c829bf4c06dce97e9dea10a4,refactoring_guru.strategy.example.Demo.main(java.lang.String[]),refactoring_guru.strategy.example.strategies.PayByPayPal,instantiates,1
8dc7e23a9eaf8cb285f073835048a059,refactoring_guru.strategy.example.strategies.PayByPayPal,refactoring_guru.strategy.example.strategies.PayByPayPal.setSignedIn(boolean),hasScript,1
d9d6a39d039418e2b129c3a952077f5a,refactoring_guru.strategy.example.strategies.PayByCreditCard.card,refactoring_guru.strategy.example.strategies.CreditCard,type,1
043b5ddd033829ae6d0a0956dd66f181,refactoring_guru.strategy.example.strategies.PayByPayPal.refactoring_guru.strategy.example.strategies.PayByPayPal(),refactoring_guru.strategy.example.strategies.PayByPayPal,returnType,1
9b18314484bb9ff96a4c52af9bc97694,refactoring_guru.strategy.example.order.Order.getTotalCost(),int,returnType,1
89095576307bfba09aa8850e23e84541,refactoring_guru.strategy.example.strategies.PayStrategy,refactoring_guru.strategy.example.strategies.PayStrategy.collectPaymentDetails(),hasScript,1
eb63c941ab60270e96e6346004225aaf,refactoring_guru.strategy.example.strategies.PayByPayPal,refactoring_guru.strategy.example.strategies.PayByPayPal.signedIn,hasVariable,1
8d20f53e761e4c64ed7ffbe44a1a450f,refactoring_guru.strategy.example.strategies.PayByCreditCard,refactoring_guru.strategy.example.strategies.PayByCreditCard.READER,hasVariable,1
67cb787e7c359f428100d366f17a9d8b,refactoring_guru.strategy.example.strategies.PayByCreditCard,refactoring_guru.strategy.example.strategies.PayStrategy,specializes,1
67c2e9429c00b35706c07f946bf470ff,refactoring_guru.strategy.example.strategies.CreditCard.cvv,java.lang.String,type,1
985489455d1bdb70b6f318e3cc1a5985,refactoring_guru.strategy.example.strategies.PayByPayPal.pay(int),refactoring_guru.strategy.example.strategies.PayByPayPal.pay(int).paymentAmount,hasParameter,1
9e22a6f77aab58af4434cb7baad1acdf,"refactoring_guru.strategy.example.strategies.CreditCard.refactoring_guru.strategy.example.strategies.CreditCard(java.lang.String,java.lang.String,java.lang.String)","refactoring_guru.strategy.example.strategies.CreditCard.refactoring_guru.strategy.example.strategies.CreditCard(java.lang.String,java.lang.String,java.lang.String).cvv",hasParameter,1
3b7fe859fcadea1bc4c548af5b4074e4,refactoring_guru.strategy.example,refactoring_guru.strategy.example.strategies,contains,1
3e4d92ebafd7077e4daafd0abfc88429,refactoring_guru.strategy.example.strategies,refactoring_guru.strategy.example.strategies.PayStrategy,contains,1
3b2ca0af2389b2a408542c1edf61985b,refactoring_guru,refactoring_guru.strategy,contains,1
1131d5da3f7d264b15786ec07e450e7c,refactoring_guru.strategy.example.strategies.CreditCard,"refactoring_guru.strategy.example.strategies.CreditCard.refactoring_guru.strategy.example.strategies.CreditCard(java.lang.String,java.lang.String,java.lang.String)",hasScript,1
9a4a2e8eb9b8f076a2313ff2c249c455,refactoring_guru.strategy.example.strategies.PayByPayPal.pay(int).paymentAmount,int,type,1
f6d13677f329107515cc3060507fd27c,refactoring_guru.strategy.example.strategies.PayByCreditCard,refactoring_guru.strategy.example.strategies.PayByCreditCard.card,hasVariable,1
eb8d76b0b3e0cdf0e424d69244d8b345,refactoring_guru.strategy.example.strategies.PayByPayPal.signedIn,boolean,type,1
908ea43a2fd8d02db466d3bd8bb0161f,"refactoring_guru.strategy.example.strategies.CreditCard.refactoring_guru.strategy.example.strategies.CreditCard(java.lang.String,java.lang.String,java.lang.String)","refactoring_guru.strategy.example.strategies.CreditCard.refactoring_guru.strategy.example.strategies.CreditCard(java.lang.String,java.lang.String,java.lang.String).date",hasParameter,1
e5bd1992dec9edc19d33b68d9b91b58b,refactoring_guru.strategy.example.strategies.PayByPayPal,refactoring_guru.strategy.example.strategies.PayStrategy,specializes,1
35ab11152e07b19ac6a843196cc10066,refactoring_guru.strategy.example.strategies.CreditCard.date,java.lang.String,type,1
d054bbcda74ef19925380fa6d4d846f7,refactoring_guru.strategy.example.strategies,refactoring_guru.strategy.example.strategies.CreditCard,contains,1
3dc3e8c93f2025b0a66765fcd06c0dda,refactoring_guru.strategy,refactoring_guru.strategy.example,contains,1
7cf9c4dbe187b9d96635aa79047d1f34,refactoring_guru.strategy.example.strategies.PayByPayPal,refactoring_guru.strategy.example.strategies.PayByPayPal.pay(int),hasScript,1
84ba90b9333b0432a0964c8c535cc38e,refactoring_guru.strategy.example.strategies.PayByCreditCard.collectPaymentDetails(),refactoring_guru.strategy.example.strategies.CreditCard,instantiates,1
cecf741477148c7c5e724fdd9b66cda0,refactoring_guru.strategy.example.order.Order.isClosed,boolean,type,1
99523a1f98bd5f688ee5a7d83671d737,refactoring_guru.strategy.example.strategies.CreditCard.getAmount(),int,returnType,1
1ea3017422b77dd6c2595d22d38444c0,refactoring_guru.strategy.example.order.Order.refactoring_guru.strategy.example.order.Order(),refactoring_guru.strategy.example.order.Order,returnType,1
d1164097b5763f8522627424c7708266,refactoring_guru.strategy.example.Demo.main(java.lang.String[]),refactoring_guru.strategy.example.strategies.PayByCreditCard,instantiates,1
9c74e8d8592a575baa09caf533eca7d7,refactoring_guru.strategy.example.Demo,refactoring_guru.strategy.example.Demo.strategy,hasVariable,1
8e56f25bbd7e784a49f8711eea593d26,refactoring_guru.strategy.example.order.Order,refactoring_guru.strategy.example.order.Order.refactoring_guru.strategy.example.order.Order(),hasScript,1
7b32ea5ab8ecf0ae8cdb4c92f7e2ba35,refactoring_guru.strategy.example.order.Order,refactoring_guru.strategy.example.order.Order.isClosed(),hasScript,1
a19a30a8b01882a8475fe60a6a4c1305,refactoring_guru.strategy.example.strategies.CreditCard,refactoring_guru.strategy.example.strategies.CreditCard.amount,hasVariable,1
70ee5210ba4547062b5f77fa8d3ea05b,refactoring_guru.strategy.example.strategies.PayByCreditCard,refactoring_guru.strategy.example.strategies.PayByCreditCard.refactoring_guru.strategy.example.strategies.PayByCreditCard(),hasScript,1
773d788b950d8b662da44e3420c98c4f,refactoring_guru.strategy.example.order.Order.setTotalCost(int),refactoring_guru.strategy.example.order.Order.setTotalCost(int).cost,hasParameter,1
b1063e26b85edfc3b561a0faa74d80f9,refactoring_guru.strategy.example.strategies.PayByCreditCard.pay(int),refactoring_guru.strategy.example.strategies.CreditCard.setAmount(int),invokes,1
b2499db4085ee3decf1a7e87834f67e2,"refactoring_guru.strategy.example.strategies.CreditCard.refactoring_guru.strategy.example.strategies.CreditCard(java.lang.String,java.lang.String,java.lang.String).date",java.lang.String,type,1
11aac22a72440d13d54f2562ee0d03cc,refactoring_guru.strategy.example.Demo,refactoring_guru.strategy.example.Demo.reader,hasVariable,1
afeeba06f25032c261c4ec63ec02db03,refactoring_guru.strategy.example.Demo,refactoring_guru.strategy.example.Demo.order,hasVariable,1
99835a50f840d78cd4d2dcf7341cc67e,refactoring_guru.strategy.example.order.Order,refactoring_guru.strategy.example.order.Order.totalCost,hasVariable,1
